2022-03-25 09:35:02,699 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:35:02,701 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:38:11,891 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:38:11,893 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:55:42,765 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:55:42,767 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:58:25,784 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:58:25,786 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:20,811 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:20,813 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:57,624 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:57,626 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 10:00:06,643 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 103.63 and throttle: 30
2022-03-25 10:00:06,848 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 112.82 and throttle: 30
2022-03-25 10:00:07,050 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 123.72999999999999 and throttle: 30
2022-03-25 10:00:07,250 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 135.01999999999998 and throttle: 30
2022-03-25 10:00:07,452 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 141.01 and throttle: 30
2022-03-25 10:00:07,653 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 148.75 and throttle: 30
2022-03-25 10:00:07,855 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 156.31 and throttle: 30
2022-03-25 10:00:08,055 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 162.19 and throttle: 30
2022-03-25 10:00:08,255 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 168.42000000000002 and throttle: 30
2022-03-25 10:00:08,456 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 172.18 and throttle: 30
2022-03-25 10:00:08,656 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.06 and throttle: 30
2022-03-25 10:00:08,858 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.56 and throttle: 30
2022-03-25 10:00:09,059 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 185.95999999999998 and throttle: 30
2022-03-25 10:00:09,261 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 185.47 and throttle: 30
2022-03-25 10:00:09,462 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.16 and throttle: 30
2022-03-25 10:00:09,662 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.94 and throttle: 30
2022-03-25 10:00:09,863 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.04000000000002 and throttle: 30
2022-03-25 10:00:10,065 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 185.29000000000002 and throttle: 30
2022-03-25 10:00:10,266 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 174.38 and throttle: 30
2022-03-25 10:00:10,466 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.7 and throttle: 30
2022-03-25 10:00:10,668 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.01 and throttle: 30
2022-03-25 10:00:10,869 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.55 and throttle: 30
2022-03-25 10:00:11,069 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 184.34 and throttle: 30
2022-03-25 10:00:11,175 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.5 and throttle: 30
2022-03-25 10:00:11,399 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.94 and throttle: 30
2022-03-25 10:00:11,601 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.61 and throttle: 30
2022-03-25 10:00:11,808 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 190.7 and throttle: 30
2022-03-25 10:00:12,008 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 175.22 and throttle: 30
2022-03-25 10:00:12,216 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.31 and throttle: 30
2022-03-25 10:00:12,420 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.93 and throttle: 30
2022-03-25 10:00:12,622 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.45999999999998 and throttle: 30
2022-03-25 10:00:12,820 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 184.01999999999998 and throttle: 30
2022-03-25 10:00:13,022 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.82 and throttle: 30
2022-03-25 10:00:13,223 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 171.68 and throttle: 30
2022-03-25 10:00:13,424 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.74 and throttle: 30
2022-03-25 10:00:13,627 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 178.44 and throttle: 30
2022-03-25 10:00:13,827 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 175.42000000000002 and throttle: 30
2022-03-25 10:00:14,028 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 175.55 and throttle: 30
2022-03-25 10:00:14,229 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 185.38 and throttle: 30
2022-03-25 10:00:14,430 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.1 and throttle: 30
2022-03-25 10:00:14,632 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.39 and throttle: 30
2022-03-25 10:00:14,833 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 178.97 and throttle: 30
2022-03-25 10:00:15,034 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.45 and throttle: 30
2022-03-25 10:00:15,236 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.94 and throttle: 30
2022-03-25 10:00:15,437 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.5 and throttle: 30
2022-03-25 10:00:15,640 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.45999999999998 and throttle: 30
2022-03-25 10:00:15,839 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 189.06 and throttle: 30
2022-03-25 10:00:16,040 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.48000000000002 and throttle: 30
2022-03-25 10:00:16,241 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.73000000000002 and throttle: 30
2022-03-25 10:00:16,441 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 176.93 and throttle: 30
2022-03-25 10:00:16,642 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.1 and throttle: 30
2022-03-25 10:00:16,845 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 178.16 and throttle: 30
2022-03-25 10:00:17,045 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 184.20999999999998 and throttle: 30
